type,category,subcategory,company_name,company_legal_name,brand_name,note
manufacturer,건강기능식품,홍삼,정관장,한국인삼공사,홍삼정,홍삼
manufacturer,건강기능식품,홍삼,정관장,한국인삼공사,에브리타임,홍삼스틱
manufacturer,건강기능식품,홍삼,정관장,한국인삼공사,홍삼톤,홍삼액
manufacturer,건강기능식품,홍삼,한삼인,농협한삼인,한삼인홍삼,홍삼
manufacturer,건강기능식품,홍삼,광동제약,광동제약(주),광동홍삼,홍삼
manufacturer,건강기능식품,유산균,락토핏,종근당건강(주),락토핏골드,유산균
manufacturer,건강기능식품,유산균,종근당건강,종근당건강(주),프로바이오틱스,유산균
manufacturer,건강기능식품,유산균,일동제약,일동제약(주),지큐랩,유산균
manufacturer,건강기능식품,유산균,쎌바이오텍,쎌바이오텍(주),듀오락,유산균
manufacturer,건강기능식품,유산균,hy,에치와이,메디프로바이오,유산균
manufacturer,건강기능식품,유산균,에이치피오,에이치피오,덴마크유산균이야기,유산균
manufacturer,건강기능식품,비타민C,고려은단,고려은단(주),고려은단비타민C,비타민C
manufacturer,건강기능식품,비타민C,유한양행,유한양행,유한비타민C,비타민C
manufacturer,건강기능식품,종합비타민,센트룸,한국화이자제약,센트룸,종합비타민
manufacturer,건강기능식품,종합비타민,얼라이브,한국파마,얼라이브,종합비타민
manufacturer,건강기능식품,종합비타민,솔가,솔가,솔가종합비타민,수입
manufacturer,건강기능식품,비타민B,대웅제약,대웅제약(주),임팩타민,비타민B
manufacturer,건강기능식품,비타민B,일동제약,일동제약(주),아로나민,비타민B
manufacturer,건강기능식품,비타민D,뉴트리디데이,뉴트리디데이,비타민D3,비타민D
manufacturer,건강기능식품,오메가3,고려은단,고려은단(주),고려은단오메가3,오메가3
manufacturer,건강기능식품,오메가3,유한양행,유한양행,프로메가,오메가3
manufacturer,건강기능식품,오메가3,나우푸드,나우푸드,나우오메가3,수입
manufacturer,건강기능식품,오메가3,안국건강,안국건강(주),안국오메가3,오메가3
manufacturer,건강기능식품,루테인,안국건강,안국건강(주),안국루테인,루테인
manufacturer,건강기능식품,루테인,종근당건강,종근당건강(주),아이클리어,루테인
manufacturer,건강기능식품,루테인,뉴트리원,뉴트리원,루테인지아잔틴,루테인
manufacturer,건강기능식품,밀크씨슬,gnm자연의품격,지엔엠라이프,밀크씨슬,간건강
manufacturer,건강기능식품,밀크씨슬,종근당건강,종근당건강(주),밀크씨슬,간건강
manufacturer,건강기능식품,콜라겐,비비랩,에스디생명공학,비비랩콜라겐,콜라겐
manufacturer,건강기능식품,콜라겐,뉴트리원,뉴트리원,에버콜라겐,콜라겐
manufacturer,건강기능식품,콜라겐,뉴트리디데이,뉴트리디데이,저분자콜라겐,콜라겐
manufacturer,건강기능식품,다이어트,비비랩,에스디생명공학,비비랩가르시니아,가르시니아
manufacturer,건강기능식품,다이어트,에스더포뮬러,에스더포뮬러,다이어트,다이어트
manufacturer,건강기능식품,다이어트,뉴트리원,뉴트리원,캡사이신,다이어트
manufacturer,건강기능식품,마그네슘,gnm자연의품격,지엔엠라이프,마그네슘,미네랄
manufacturer,건강기능식품,칼슘,종근당건강,종근당건강(주),칼슘마그네슘비타민D,미네랄
manufacturer,건강기능식품,프로폴리스,서울프로폴리스,서울프로폴리스,프로폴리스,면역
manufacturer,건강기능식품,단백질,뉴트리코어,뉴트리코어,웨이프로틴,단백질보충제
manufacturer,건강기능식품,단백질,마이프로틴,마이프로틴,임팩트웨이,수입프로틴
manufacturer,건강기능식품,효소,GNM자연의품격,지엔엠라이프,곡물효소,효소
manufacturer,건강기능식품,코엔자임Q10,뉴트리원,뉴트리원,코큐텐,코엔자임Q10
manufacturer,건강기능식품,종합,에스더포뮬러,에스더포뮬러,에스더포뮬러,면역
manufacturer,건강기능식품,종합,뉴오리진,뉴오리진,뉴오리진,종합
manufacturer,건강기능식품,종합,GNM자연의품격,지엔엠라이프,gnm,종합
manufacturer,건강기능식품,종합,닥터린,닥터린,닥터린,종합
manufacturer,건강기능식품,종합,종근당건강,종근당건강(주),종근당건강,종합
manufacturer,건강기능식품,관절,종근당건강,종근당건강(주),관절팔팔,글루코사민
manufacturer,건강기능식품,눈건강,라이프익스텐션,라이프익스텐션,루테인,수입
manufacturer,건강기능식품,프로바이오틱스,캘리포니아골드뉴트리션,iherb,프로바이오틱스,수입
manufacturer,건강기능식품,종합,노바렉스,노바렉스(주),노바렉스,OEM·자사브랜드
